2024/04/23 16:32:06 [error] 13664#16776: *8212 connect() failed (10061: FormatMessage() error:(15100)) while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10008", host: "planti.local", referrer: "http://planti.local/wp-admin/post.php?post=111&action=elementor"
2024/04/23 16:32:06 [error] 13664#16776: *8208 connect() failed (10061: FormatMessage() error:(15105)) while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10008", host: "planti.local", referrer: "http://planti.local/wp-admin/post.php?post=111&action=elementor"
2024/04/23 16:32:15 [error] 13664#16776: *8210 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "planti.local", referrer: "http://planti.local/wp-admin/post.php?post=111&action=elementor"
2024/04/23 16:32:15 [error] 13664#16776: *8208 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "planti.local", referrer: "http://planti.local/wp-admin/post.php?post=111&action=elementor"
2024/04/23 16:32:15 [error] 13664#16776: *8212 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "planti.local", referrer: "http://planti.local/wp-admin/post.php?post=111&action=elementor"
2024/04/23 16:32:16 [error] 13664#16776: *8219 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "planti.local", referrer: "http://planti.local/wp-admin/post.php?post=111&action=elementor"
2024/04/23 16:32:23 [error] 13664#16776: *8222 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "planti.local", referrer: "http://planti.local/wp-admin/post.php?post=111&action=elementor"
2024/04/23 16:32:23 [error] 13664#16776: *8224 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "planti.local", referrer: "http://planti.local/wp-admin/post.php?post=111&action=elementor"
2024/04/23 16:32:23 [error] 13664#16776: *8225 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "planti.local", referrer: "http://planti.local/wp-admin/post.php?post=111&action=elementor"
2024/04/23 16:32:24 [error] 13664#16776: *8226 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "planti.local", referrer: "http://planti.local/wp-admin/post.php?post=111&action=elementor"
2024/05/02 00:25:02 [error] 4664#23584: *8825 upstream timed out (10060: FormatMessage() error:(15100)) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "planti.local", referrer: "http://planti.local/wp-admin/post.php?post=69&action=elementor"
2024/05/10 21:09:58 [error] 4664#23584: *37755 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10008", host: "planti.local", referrer: "http://planti.local/wp-admin/post.php?post=111&action=elementor"
